"Provider Id";"Complaint Received";"Requirement";"Description";"Allegation Description";"Plan to Correct";"Allegation Findings"
"K830054522";"9/15/2020";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"2. Supervision - Child was unsupervised & alone inside building while using the restroom with no personnel or children inside the building. All personnel & children were outside playing.";"10-16-20 - Notice to Comply completed with following plan of correction: The decision is to go in every 30 minutes for potty breaks so no child will go unsupervised.";"Substantiated"
"K830023158";"5/13/2019";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Staff: A staff person used profane language to another staff person in presence of a children in care.";"A staff meeting will be held again to review policy and procedures regarding appropriate language while around children and while at work regarding this matter. It will be done with in two weeks.";"Substantiated"
"K830023158";"5/13/2019";"340:110-3-288(c)(2)(C)";"yelling at a child out of anger or using harsh or profane language;";"**Found in the course of the investigation / Serious non-compliance ** Discipline: A staff person used profane language with a child in care.";"The staff person was terminated at once on the day of the incident and all will be discussed in the staff meeting that will be held regarding both matters.";"Substantiated"
"K830022637";"9/19/2019";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"2. Staff/Personnel: Staff did not demonstrate responsible behavior by getting so upset after a child fell off a changing table that this staff did not immediately assess child for injury.";"Upon hiring will have employee watch training videos on remaining calm when an injury has occurred and to check child for any injuries. Along with learning to remain calm when going through 1st Aid/CPR. Train existing employees between CPR/1st aid certifications.";"Substantiated"
"K830023125";"9/30/2019";"340:110-3-280(d)(3)(C)";"known minor injuries;";"Parent and staff communication: Toddler was bitten and parent was not notified of the bites when parent picked child up.";"Notify parents on daily sheet, as well as computer of any known minor injury.";"Substantiated"
"K830053413";"5/7/2019";"340:110-3-296(b)(2)(B)";"Inappropriate sleep environment. Infant safe sleep environment requirements listed in (i) through (viii) of this subparagraph are met.";"Rest time/equipment-serious";"Will not allow infant to sleep in carrier or have blanket at anytime while sleeping. Will only use safe sleep practice.";"Substantiated"
"K830053413";"5/7/2019";"340:110-3-296(b)";"Rest time  infants";"Rest time/swaddling-serious";"Will not allow infant to sleep in carrier or have blanket at anytime while sleeping. Will only use safe sleep practice.";"Substantiated"
"K830023064";"8/27/2019";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"Additional Non-compliance found during the investigation. Serious; Staff child ratio; infants 1 year olds and 2 year old classroom, 8 children present with one staff";"Notice to comply completed 8/28/19; During the morning before 2nd staff arrives the children will remain in the common area or outside with 3 other staff present, the cook is also available to act as a staff and will be used if needed in ration. The director will have a staff meeting with all employees and will review the staff child ratio by 8/30/19. At no time will staff child ratio not be in compliance.";"Substantiated"
"K830053668";"2/21/2019";"340:110-3-281.1(i)(4)";"Ratios and group sizes. The applicable program-type ratios and group sizes per OAC 340 Appendix GG - Ratios and Group Sizes are posted.";"staff/child ratios";"Owner and Director will ensure that an extra staff is present during the drop off hours to ensure staff child ratio.";"Substantiated"
"K830054191";"11/13/2020";"340:110-3-281.2(c)(5)(B)(i)";"promptly documented on paper, including the child's full name and arrival and departure time; and";"Attendance/Attendance information not recorded accurately.";"Director stated:"" I will assign 1 person to document the attendance paper.""";"Substantiated"
"K820047849";"1/15/2021";"340:110-3-97.1(d)";"Capacity. Large family child care homes are required to meet the rules found in OAC 340:110-3-84(a), and the total number of children in care in a large family child care home is limited to 12.";"1) Capacity. Serious Non-compliance. Provider operated over licensed capacity in October 2020.";"Will ensure the number of children in care does not exceed license capacity.";"Substantiated"
"K820047849";"1/15/2021";"340:110-3-88(c)(3)";"Daily attendance records, including arrival and departure times for each child, are maintained and on file a minimum of 120 calendar days.";"Additional Non-compliance. Records. Primary caregiver not keeping accurate attendance for October 2020.";"Will keep accurate attendance records immediately upon arrival and departure of children daily.";"Substantiated"
"K830051458";"7/9/2021";"340:110-3-288(a)";"General. Discipline is developmentally appropriate, responsive to the circumstances, constructive, and provides an opportunity to learn. Personnel do not seek or accept parental permission that does not comply with these requirements per Oklahoma Administrative Code (OAC) 340:110-3-293(a).";"Discipline-staff alleged to have used inappropriate discipline.";"Notice to comply sent to program for completion of plan of correction.";"Substantiated"
